,object detected,requestid,model,resolution,contrast,sharpness,brightness,saturation,noise,blur,image id,correctly detect,true class
51,"[['bird', 0.28100255131721497], ['car', 0.2635189890861511]]",735afefc-b4ae-42e4-91a0-95b7f7637a3c,yolov8n,"[640, 480]",831.08,831.08,182.02,38.64,49.695638020833336,831.0818434397274,489195247_b908298ee6_z_degraded.jpg,0,dog
52,"[['person', 0.6266394853591919], ['person', 0.49528953433036804]]",13257f1a-2324-4689-9d9b-209e2fe14ed2,yolov5n,"[640, 427]",3212.9,3212.9,79.89,115.21,49.963041569086656,3212.8959079401825,11132512636_ebb3a6a070_z_degraded.jpg,1,person
53,"[['person', 0.7708739638328552], ['person', 0.7269098162651062], ['person', 0.6916889548301697], ['person', 0.5215405225753784], ['umbrella', 0.3950163424015045]]",13257f1a-2324-4689-9d9b-209e2fe14ed2,yolov8n,"[640, 427]",3212.9,3212.9,79.89,115.21,49.963041569086656,3212.8959079401825,11132512636_ebb3a6a070_z_degraded.jpg,1,person
54,"[['person', 0.8621121048927307], ['tie', 0.6760589480400085]]",826b108f-bafe-4515-98c8-98864982aec4,yolov5n,"[639, 428]",1384.91,1384.91,200.79,30.1,58.08104076170418,1384.912078222552,2522213440_edbcb5ba05_z_degraded.jpg,1,person
55,"[['person', 0.9211977124214172], ['tie', 0.6360851526260376], ['person', 0.3498131334781647], ['person', 0.33160561323165894], ['person', 0.2526768147945404]]",826b108f-bafe-4515-98c8-98864982aec4,yolov8n,"[639, 428]",1384.91,1384.91,200.79,30.1,58.08104076170418,1384.912078222552,2522213440_edbcb5ba05_z_degraded.jpg,1,person
56,"[['bicycle', 0.7879303693771362]]",ac47b511-2085-4867-92e4-48c9055e5a2c,yolov5n,"[640, 480]",1812.71,1812.71,183.69,69.45,29.233072916666664,1812.7125756197504,5708252159_5b4ac86a01_z_degraded.jpg,1,bicycle
57,"[['bicycle', 0.910738468170166], ['bicycle', 0.8795554637908936], ['motorcycle', 0.38856157660484314]]",ac47b511-2085-4867-92e4-48c9055e5a2c,yolov8n,"[640, 480]",1812.71,1812.71,183.69,69.45,29.233072916666664,1812.7125756197504,5708252159_5b4ac86a01_z_degraded.jpg,1,bicycle
58,"[['person', 0.6545354127883911]]",e34ea03a-1ac8-4bd0-9734-d7bad347f10d,yolov5n,"[427, 640]",1404.55,1404.55,186.86,45.52,60.90237119437939,1404.5495264021354,7166182137_a5679c9fa4_z_degraded.jpg,1,person
59,"[['person', 0.9275539517402649]]",e34ea03a-1ac8-4bd0-9734-d7bad347f10d,yolov8n,"[427, 640]",1404.55,1404.55,186.86,45.52,60.90237119437939,1404.5495264021354,7166182137_a5679c9fa4_z_degraded.jpg,1,person
60,"[['person', 0.7562376856803894], ['person', 0.5913200974464417], ['person', 0.5777686238288879], ['person', 0.535556435585022], ['person', 0.4791632294654846], ['person', 0.42970335483551025]]",9b4c3cd4-632f-4c04-a258-b4d6b226bcf3,yolov5n,"[640, 360]",2957.87,2957.87,96.23,140.88,32.45789930555556,2957.8696607493466,5210291488_fe9939bdf1_z_degraded.jpg,1,person
61,"[['person', 0.8364142775535583], ['person', 0.8250257968902588], ['person', 0.8181514739990234], ['person', 0.8167085647583008], ['person', 0.7278697490692139], ['person', 0.6991066932678223], ['person', 0.6744509935379028], ['person', 0.6661901473999023], ['person', 0.5016237497329712], ['person', 0.4031210243701935], ['person', 0.2760849595069885]]",9b4c3cd4-632f-4c04-a258-b4d6b226bcf3,yolov8n,"[640, 360]",2957.87,2957.87,96.23,140.88,32.45789930555556,2957.8696607493466,5210291488_fe9939bdf1_z_degraded.jpg,1,person
62,"[['truck', 0.43685105443000793]]",048a64a6-6a73-4c6f-9b19-ef0c7bf95213,yolov5n,"[639, 369]",2550.33,2550.33,126.16,49.16,28.591846168852925,2550.3265378246515,3312304999_bc296f3260_z_degraded.jpg,0,car
63,"[['truck', 0.8255528211593628]]",048a64a6-6a73-4c6f-9b19-ef0c7bf95213,yolov8n,"[639, 369]",2550.33,2550.33,126.16,49.16,28.591846168852925,2550.3265378246515,3312304999_bc296f3260_z_degraded.jpg,0,car
64,[],6e2a4b3e-4e96-4c7f-bcdd-0f60020da6c4,yolov5n,"[640, 425]",3450.05,3450.05,195.4,36.74,66.33492647058824,3450.0522431295417,5605719660_5bed05cca3_z_degraded.jpg,0,person
65,"[['person', 0.3601997494697571]]",6e2a4b3e-4e96-4c7f-bcdd-0f60020da6c4,yolov8n,"[640, 425]",3450.05,3450.05,195.4,36.74,66.33492647058824,3450.0522431295417,5605719660_5bed05cca3_z_degraded.jpg,1,person
66,"[['person', 0.3096364736557007]]",8c6d2315-66c2-43c1-82b6-4d2cabb15e7f,yolov5n,"[480, 640]",1485.59,1485.59,167.56,81.59,40.791015625,1485.586917825953,7192116992_5447de0caa_z_degraded.jpg,1,person
67,"[['person', 0.5958284735679626]]",8c6d2315-66c2-43c1-82b6-4d2cabb15e7f,yolov8n,"[480, 640]",1485.59,1485.59,167.56,81.59,40.791015625,1485.586917825953,7192116992_5447de0caa_z_degraded.jpg,1,person
68,"[['person', 0.8126227259635925], ['person', 0.7614033222198486], ['person', 0.7449164986610413], ['person', 0.6484845876693726], ['person', 0.6219028234481812], ['person', 0.6049997210502625], ['person', 0.5968966484069824], ['person', 0.5853514075279236], ['person', 0.41124626994132996], ['person', 0.2903156578540802], ['person', 0.2655872404575348]]",d886c6a8-150c-4fd7-a44a-3634f9a09841,yolov5n,"[640, 480]",4530.67,4530.67,129.0,125.55,22.255859375,4530.666021129598,16433605163_8c9393beb1_z_degraded.jpg,1,person
69,"[['person', 0.8457434773445129], ['person', 0.8198850750923157], ['person', 0.7804592847824097], ['person', 0.7712773680686951], ['person', 0.7455261945724487], ['person', 0.7058490514755249], ['person', 0.7000879645347595], ['person', 0.655369222164154], ['person', 0.5415129065513611], ['person', 0.2803988754749298], ['person', 0.26612773537635803], ['person', 0.25871190428733826]]",d886c6a8-150c-4fd7-a44a-3634f9a09841,yolov8n,"[640, 480]",4530.67,4530.67,129.0,125.55,22.255859375,4530.666021129598,16433605163_8c9393beb1_z_degraded.jpg,1,person
70,[],58aad931-ba0e-4e2f-ac2d-7705d0e5665c,yolov5n,"[600, 520]",676.64,676.64,138.63,57.46,72.86762820512821,676.6375891636977,5540859766_5596c9c59e_z_degraded.jpg,0,person
71,"[['person', 0.8483579754829407], ['tie', 0.5293914675712585]]",58aad931-ba0e-4e2f-ac2d-7705d0e5665c,yolov8n,"[600, 520]",676.64,676.64,138.63,57.46,72.86762820512821,676.6375891636977,5540859766_5596c9c59e_z_degraded.jpg,1,person
72,"[['person', 0.3096364736557007]]",5d9dbb6d-5796-4419-9045-55c637a89221,yolov5n,"[480, 640]",1485.59,1485.59,167.56,81.59,40.791015625,1485.586917825953,7192116992_5447de0caa_z_degraded.jpg,1,person
73,"[['person', 0.5958284735679626]]",5d9dbb6d-5796-4419-9045-55c637a89221,yolov8n,"[480, 640]",1485.59,1485.59,167.56,81.59,40.791015625,1485.586917825953,7192116992_5447de0caa_z_degraded.jpg,1,person
74,[],d740d4c7-b0b0-4d28-86d6-04d299afbb31,yolov5n,"[640, 426]",2398.94,2398.94,162.8,78.88,31.146933685446008,2398.9396387776555,15071673457_0703cea442_z_degraded.jpg,0,person
75,"[['person', 0.6598086357116699]]",d740d4c7-b0b0-4d28-86d6-04d299afbb31,yolov8n,"[640, 426]",2398.94,2398.94,162.8,78.88,31.146933685446008,2398.9396387776555,15071673457_0703cea442_z_degraded.jpg,1,person
76,[],d1a8e5b6-4bdc-4bda-b558-a838ca876e6d,yolov5n,"[494, 639]",45.0,45.0,229.21,19.59,73.50395671374173,44.99980595403253,3959888385_3580cd572c_z_degraded.jpg,0,cat
77,"[['cat', 0.5833579301834106]]",d1a8e5b6-4bdc-4bda-b558-a838ca876e6d,yolov8n,"[494, 639]",45.0,45.0,229.21,19.59,73.50395671374173,44.99980595403253,3959888385_3580cd572c_z_degraded.jpg,1,cat
78,[],4b01c358-3eee-4115-8891-38a1fff0178d,yolov5n,"[640, 480]",574.99,574.99,145.69,136.85,8.817708333333334,574.9887231394025,7664570690_6ab2f0ab5d_z_degraded.jpg,0,cat
79,"[['elephant', 0.6255797743797302], ['person', 0.35128673911094666], ['cat', 0.3028784692287445]]",4b01c358-3eee-4115-8891-38a1fff0178d,yolov8n,"[640, 480]",574.99,574.99,145.69,136.85,8.817708333333334,574.9887231394025,7664570690_6ab2f0ab5d_z_degraded.jpg,1,cat
80,[],26eb646d-470c-46ec-911e-78dc3d5bdef8,yolov5n,"[480, 640]",484.98,484.98,164.31,104.22,16.965494791666668,484.9845041846276,3195432512_d0a96b2967_z_degraded.jpg,0,person
81,"[['person', 0.7880582809448242]]",26eb646d-470c-46ec-911e-78dc3d5bdef8,yolov8n,"[480, 640]",484.98,484.98,164.31,104.22,16.965494791666668,484.9845041846276,3195432512_d0a96b2967_z_degraded.jpg,1,person
82,[],084d98c8-78a7-4b95-96d1-110757d2239b,yolov5n,"[640, 400]",1068.31,1068.31,168.15,39.78,42.80703125,1068.3065894181975,14628257582_1ff5e98e4c_z_degraded.jpg,0,bicycle
83,[],084d98c8-78a7-4b95-96d1-110757d2239b,yolov8n,"[640, 400]",1068.31,1068.31,168.15,39.78,42.80703125,1068.3065894181975,14628257582_1ff5e98e4c_z_degraded.jpg,0,bicycle
84,"[['bicycle', 0.33046308159828186], ['person', 0.3189071714878082]]",7170db5c-8b6a-4557-8107-71335cc635e6,yolov5n,"[640, 427]",1226.29,1226.29,194.62,45.0,53.79683840749414,1226.2922591092497,51712355_49c2e95899_z_degraded.jpg,1,bicycle
85,"[['motorcycle', 0.5959076285362244], ['person', 0.519286572933197], ['bicycle', 0.44225817918777466], ['person', 0.34197402000427246], ['motorcycle', 0.3024808168411255]]",7170db5c-8b6a-4557-8107-71335cc635e6,yolov8n,"[640, 427]",1226.29,1226.29,194.62,45.0,53.79683840749414,1226.2922591092497,51712355_49c2e95899_z_degraded.jpg,1,bicycle
86,[],28e60a58-173c-48dc-9f80-745563f3aa95,yolov5n,"[425, 640]",2897.15,2897.15,182.01,60.16,49.10294117647059,2897.146629417766,16850385890_8105762655_z_degraded.jpg,0,person
87,"[['suitcase', 0.34168440103530884]]",28e60a58-173c-48dc-9f80-745563f3aa95,yolov8n,"[425, 640]",2897.15,2897.15,182.01,60.16,49.10294117647059,2897.146629417766,16850385890_8105762655_z_degraded.jpg,0,person
88,[],dd197c4b-dfca-49ef-b18e-adedb92fd98b,yolov5n,"[640, 427]",158.81,158.81,248.79,10.71,95.73294789227167,158.80514447075615,8464801471_b2b61acc7b_z_degraded.jpg,0,cat
89,"[['clock', 0.4366156756877899]]",dd197c4b-dfca-49ef-b18e-adedb92fd98b,yolov8n,"[640, 427]",158.81,158.81,248.79,10.71,95.73294789227167,158.80514447075615,8464801471_b2b61acc7b_z_degraded.jpg,0,cat
90,"[['person', 0.7198946475982666], ['person', 0.6905776262283325]]",40d8c864-aa2d-49a9-adf4-898a69f63418,yolov5n,"[640, 427]",2025.47,2025.47,185.6,98.37,30.231996487119435,2025.465354658281,4065552857_98aa8a39d4_z_degraded.jpg,0,bicycle
91,"[['person', 0.8746452331542969], ['person', 0.8120141625404358], ['bicycle', 0.28142836689949036]]",40d8c864-aa2d-49a9-adf4-898a69f63418,yolov8n,"[640, 427]",2025.47,2025.47,185.6,98.37,30.231996487119435,2025.465354658281,4065552857_98aa8a39d4_z_degraded.jpg,1,bicycle
92,"[['car', 0.3436017334461212]]",8931e2f7-41cf-4d14-9283-b6af25c09af0,yolov5n,"[640, 494]",9247.32,9247.32,171.43,45.82,45.92200151821862,9247.315500857987,3141821008_3743fb8be5_z_degraded.jpg,1,car
93,"[['truck', 0.8165857791900635], ['car', 0.7559909820556641], ['car', 0.45478546619415283]]",8931e2f7-41cf-4d14-9283-b6af25c09af0,yolov8n,"[640, 494]",9247.32,9247.32,171.43,45.82,45.92200151821862,9247.315500857987,3141821008_3743fb8be5_z_degraded.jpg,1,car
94,"[['person', 0.3034187853336334]]",304dedd7-b48c-4861-a209-ab5c1625659e,yolov5n,"[640, 640]",2969.13,2969.13,203.36,34.22,59.13305664062499,2969.1343599298243,19030996840_1fbbb14eeb_z_degraded.jpg,0,dog
95,"[['dog', 0.8071691393852234]]",304dedd7-b48c-4861-a209-ab5c1625659e,yolov8n,"[640, 640]",2969.13,2969.13,203.36,34.22,59.13305664062499,2969.1343599298243,19030996840_1fbbb14eeb_z_degraded.jpg,1,dog
96,"[['bear', 0.6397754549980164]]",92df8adf-b8d6-47cc-81fc-6b72f6383ce8,yolov5n,"[640, 480]",172.14,172.14,227.13,39.68,69.8740234375,172.13919228447807,5290576324_881daf8265_z_degraded.jpg,0,dog
97,"[['dog', 0.7624503374099731], ['bear', 0.41175565123558044]]",92df8adf-b8d6-47cc-81fc-6b72f6383ce8,yolov8n,"[640, 480]",172.14,172.14,227.13,39.68,69.8740234375,172.13919228447807,5290576324_881daf8265_z_degraded.jpg,1,dog
98,"[['elephant', 0.2793121635913849]]",42efeb60-a6f8-467b-b6a7-8073e6f8cab2,yolov5n,"[640, 427]",2759.27,2759.27,153.38,69.5,37.417666861826696,2759.2675314374064,9002629162_51388d1396_z_degraded.jpg,0,cat
99,"[['cat', 0.8486721515655518]]",42efeb60-a6f8-467b-b6a7-8073e6f8cab2,yolov8n,"[640, 427]",2759.27,2759.27,153.38,69.5,37.417666861826696,2759.2675314374064,9002629162_51388d1396_z_degraded.jpg,1,cat
